condition,word_search_type,n_trials,n_success,n_failure,success_rate,mean_word_search_time_sec
discontinuous,all,6,6,0,1.0,19.714333333333332
discontinuous,long,3,3,0,1.0,14.728666666666664
discontinuous,short,3,3,0,1.0,24.7
keyword,all,6,6,0,1.0,14.052499999999997
keyword,long,3,3,0,1.0,23.717666666666663
keyword,short,3,3,0,1.0,4.387333333333333
keyword2,all,6,5,1,0.8333333333333334,38.364
keyword2,long,3,3,0,1.0,29.898666666666667
keyword2,short,3,2,1,0.6666666666666666,51.062
sentence,all,6,6,0,1.0,20.379666666666665
sentence,long,3,3,0,1.0,20.574333333333332
sentence,short,3,3,0,1.0,20.185
word,all,6,5,1,0.8333333333333334,13.237499999999999
word,long,3,2,1,0.6666666666666666,21.644333333333336
word,short,3,3,0,1.0,4.830666666666667
