condition,word_search_type,n_trials,n_success,n_failure,success_rate,mean_word_search_time_sec
discontinuous,all,6,5,1,0.8333333333333334,12.661000000000001
discontinuous,long,3,2,1,0.6666666666666666,13.207
discontinuous,short,3,3,0,1.0,12.297000000000002
keyword,all,6,6,0,1.0,26.856333333333335
keyword,long,3,3,0,1.0,29.017333333333337
keyword,short,3,3,0,1.0,24.695333333333338
keyword2,all,6,6,0,1.0,22.4475
keyword2,long,3,3,0,1.0,31.612000000000005
keyword2,short,3,3,0,1.0,13.283000000000001
sentence,all,6,6,0,1.0,21.104000000000003
sentence,long,3,3,0,1.0,25.48266666666667
sentence,short,3,3,0,1.0,16.725333333333335
word,all,6,5,1,0.8333333333333334,14.856499999999999
word,long,3,3,0,1.0,18.117666666666665
word,short,3,2,1,0.6666666666666666,11.595333333333334
