condition,word_search_type,n_trials,n_success,n_failure,success_rate,mean_word_search_time_sec
discontinuous,all,6,6,0,1.0,21.834833333333336
discontinuous,long,3,3,0,1.0,16.355
discontinuous,short,3,3,0,1.0,27.314666666666664
keyword,all,6,6,0,1.0,17.055333333333333
keyword,long,3,3,0,1.0,18.842333333333332
keyword,short,3,3,0,1.0,15.268333333333336
keyword2,all,6,5,1,0.8333333333333334,28.775833333333335
keyword2,long,3,3,0,1.0,19.503666666666668
keyword2,short,3,2,1,0.6666666666666666,38.048
sentence,all,6,6,0,1.0,14.428166666666664
sentence,long,3,3,0,1.0,13.571
sentence,short,3,3,0,1.0,15.285333333333332
word,all,6,6,0,1.0,24.494166666666672
word,long,3,3,0,1.0,20.68133333333333
word,short,3,3,0,1.0,28.307000000000002
