participant_id,condition,audio,task_index,word_search_type,outcome,distance_seconds,word_search_success,word_search_failure,word_search_time_sec
p3,sentence,6.mp3,4,long,spacebar,0.927061000000009,True,False,18.47
p3,sentence,6.mp3,5,short,spacebar,1.0056829999999763,True,False,8.975
p3,sentence,6.mp3,6,long,spacebar,0.8156730000000039,True,False,15.827
p3,word,9.mp3,1,long,spacebar,0.7784879999999994,True,False,16.754
p3,word,9.mp3,2,short,spacebar,0.6622619999999984,True,False,9.864
p3,word,9.mp3,3,long,spacebar,0.8399709999999914,True,False,20.996
p3,word,9.mp3,4,short,spacebar,0.9637390000000039,True,False,5.569
p3,word,9.mp3,5,short,timeout,,False,True,
p3,word,9.mp3,6,long,spacebar,0.905777999999998,True,False,17.597
p4,discontinuous,9.mp3,1,long,spacebar,1.2269450000000006,True,False,35.956
p4,discontinuous,9.mp3,2,short,spacebar,1.517587000000006,True,False,44.19
p4,discontinuous,9.mp3,3,long,spacebar,0.718198000000001,True,False,14.828
p4,discontinuous,9.mp3,4,short,spacebar,0.7169090000000153,True,False,14.662
p4,discontinuous,9.mp3,5,short,timeout,,False,True,
p4,discontinuous,9.mp3,6,long,spacebar,0.723337000000015,True,False,35.242
p4,keyword2,8.mp3,1,short,timeout,,False,True,
p4,keyword2,8.mp3,2,short,spacebar,0.6323170000000005,True,False,19.351
p4,keyword2,8.mp3,3,long,spacebar,0.6964410000000214,True,False,14.742
p4,keyword2,8.mp3,4,long,spacebar,0.583328999999992,True,False,22.39
p4,keyword2,8.mp3,5,long,spacebar,0.7125350000000026,True,False,20.879
p4,keyword2,8.mp3,6,short,spacebar,0.5322699999999827,True,False,18.631
p4,keyword,6.mp3,1,long,spacebar,0.5854389999999992,True,False,20.056
p4,keyword,6.mp3,2,short,spacebar,0.6994299999999924,True,False,4.455
p4,keyword,6.mp3,3,short,spacebar,0.6748569999999745,True,False,4.744
p4,keyword,6.mp3,4,long,spacebar,0.7212179999999933,True,False,15.249
