Condition,Mental Demand_mean,Mental Demand_sd,Physical Demand_mean,Physical Demand_sd,Temporal Demand_mean,Temporal Demand_sd,Performance_mean,Performance_sd,Effort_mean,Effort_sd,Frustration_mean,Frustration_sd,SUS_mean,SUS_sd,N
Discontinuous,4.6,1.4540583599999397,1.4666666666666666,1.1254628677422756,2.7333333333333334,1.5796322658258455,5.133333333333334,1.3557637102737474,4.6,1.5491933384829668,2.6,1.5491933384829666,75.0,19.03943276465977,15
Keyword,3.3333333333333335,1.632993161855452,1.3333333333333333,0.8997354108424374,2.4,1.7237832147426693,6.4,0.9102589898327994,2.6666666666666665,1.5886502207249789,2.1333333333333333,1.4074631010979934,89.0,13.22200546707755,15
Keyword2,4.466666666666667,1.8464895909600492,1.8,1.61245154965971,3.4,1.5946338585572373,5.066666666666666,1.0327955589886446,4.6,1.3522468075656264,2.6,1.4040757000349275,67.66666666666667,22.028120556191244,15
Word,3.6666666666666665,1.543033499620919,1.8666666666666667,1.5522640914238175,2.6,1.5946338585572373,6.2,1.0141851056742202,3.066666666666667,1.579632265825846,2.2666666666666666,1.2227992865708153,86.0,11.37038760490223,15
Sentence,4.2,1.6987390281365427,1.6,1.0555973258234952,3.0,1.7320508075688772,5.333333333333333,1.8387366263150307,3.8666666666666667,1.5976172734359602,2.4,1.6818357317441643,79.5,21.343282650185614,15
