condition,word_search_type,n_trials,n_success,n_failure,success_rate,mean_word_search_time_sec
discontinuous,all,6,5,1,0.8333333333333334,28.975600000000004
discontinuous,long,3,3,0,1.0,28.675333333333338
discontinuous,short,3,2,1,0.6666666666666666,29.426
keyword,all,6,6,0,1.0,12.306166666666668
keyword,long,3,3,0,1.0,17.406666666666666
keyword,short,3,3,0,1.0,7.205666666666666
keyword2,all,6,5,1,0.8333333333333334,19.198600000000003
keyword2,long,3,3,0,1.0,19.337000000000003
keyword2,short,3,2,1,0.6666666666666666,18.991
sentence,all,6,6,0,1.0,26.857499999999998
sentence,long,3,3,0,1.0,36.659666666666666
sentence,short,3,3,0,1.0,17.055333333333333
word,all,6,6,0,1.0,14.913666666666664
word,long,3,3,0,1.0,19.840999999999998
word,short,3,3,0,1.0,9.986333333333333
